recipe_slug	score_bound	reward
apple-crumble	7.483314773547883	0.75
ma-la-chicken	7.242588778272628	0.25
quesadillas	7.195355222903414	0.5
ramen	7.204248364505396	1.0
pain-au-chocolat	6.988249021480531	1.0
chocolate-babka	7.033256011920316	0.5
spamburger	7.009063370541673	0.75
bacon-fried-rice	6.983241232943719	0.75
nacho-fries	6.806093420275862	0.75
cranberry-sauce	6.7619645790831395	0.0
asparagus-burger	6.675681925320964	0.0
bacon-wrapped-chicken	6.4748783321358765	0.75
mushroom-quiche	6.449238233073263	0.0
strawberry-rhubarb-crisp	6.379968462287227	1.0
apple-pie	6.3263677054325544	1.0
cold-noodles-with-tomatoes	6.290664007629039	0.5
brioche-bread	6.258024252992428	0.5
bacon-wrapped-asparagus	6.198551692425259	0.25
guacamole	6.117257228190413	0.75
tamales	6.090589031257335	1.0
taco-salad	6.0825050098126665	0.5
apple-crisp	6.046944206920183	1.0
dan-dan-noodles	6.037294916951547	0.75
chicken-nuggets	5.9072841961329665	1.0
bacon-mac-and-cheese	5.842881459090471	0.75
tacos	5.825771662609962	0.75
spam-musubi	5.796457752758184	0.0
croissants	5.757901094241552	0.25
fajitas	5.748609459530596	0.5
cranberry-apple-crisp	5.732595820847466	1.0
souffle	5.66737561917336	0.25
sujebi	5.6169458456255335	0.0
chocolate-peanut-butter-cake	5.5429320346364825	1.0
croissant-aux-amandes	5.49754247921461	0.25
nacho-salad	5.466657231155827	0.5
breakfast-burritos	5.453044530076439	0.5
bacon-wrapped-shrimp-skewers	5.382103706901472	1.0
nachos	5.346121644498147	1.0
asparagus-quiche	5.329887221594409	0.0
cherry-pie	5.324140956101953	1.0
danishes	5.289468880954337	0.75
vanilla-souffle	5.174456182765051	0.5
spinach-and-ricotta-lasagna	5.148634024565737	0.75
enchiladas	5.145652012886248	0.75
brownies	5.121331021760865	1.0
loaded-nachos	5.1084319584956335	0.75
cold-soba-noodles-with-tomato-and-cucumber	5.105934894942926	0.25
peach-crisp	5.053493508763369	1.0
bacon-wrapped-scallops	4.959763706770671	0.5
peanut-butter-cupcakes	4.950716504070715	1.0
brioche-bread-with-chocolate	4.919139328262832	1.0
quiche-lorraine	4.922569819560566	0.5
maple-bacon-donuts	4.8688800448466765	0.75
pickled-green-beans	4.856462352911247	0.0
chicken-fingers	4.844640515597346	1.0
ma-la-beef	4.802511365546401	0.0
classic-beef-lasagna	4.791476529820223	0.5
burritos	4.709679629954474	0.75
chiles-rellenos	4.692325835429025	0.0
bacon-egg-muffins	4.698917716183729	0.5
cold-sesame-noodles	4.675202299265541	0.5
tempura-udon	4.67558772592989	0.25
falafel	4.65538170771793	-0.0625
chicken-alfredo-lasagna	4.590282216630141	0.75
spinach-and-feta-quiche	4.5413012793380085	0.0
almond-chip-cookies	4.529640456529374	0.75
berry-crisp	4.524787346702847	0.75
bacon-and-egg-breakfast-sandwich	4.5082596314538605	0.75
peach-cobbler	4.450557807628321	0.5
nacho-casserole	4.442575298425939	0.25
bacon-chocolate-chip-cookies	4.3563090616018805	1.0
bacon-wrapped-dates	4.3565605520676405	0.0
soba-noodle-salad-with-peanut-dressing	4.345897648636844	0.25
pico-de-gallo	4.293201614083639	0.25
fried-oysters	4.200477872510363	0.0
almond-croissants	4.179428771293426	0.25
cranberry-relish	4.1659411605032615	0.0
bolognese-sauce	4.1434037121851475	0.5
maple-bacon-pancakes	4.11023669431441	0.75
blueberry-crumble	4.098437772861046	1.0
chocolate-cake	4.085530487657656	0.75
udon	4.022878018719574	0.75
nacho-dip	3.9842029512918247	0.5
lasagna	3.9426700552840153	0.5
peanut-butter-brownies	3.922867389013903	1.0
cherry-cobbler	3.8394390057738	0.75
chocolate-croissants	3.8005220323888484	0.75
spinach-quiche	3.7550342028397785	0.25
french-toast	3.708952801084857	0.5
blueberry-crisp	3.7063358300423888	1.0
pasta-primavera	3.699066101895178	0.75
pickled-asparagus	3.6013951925318115	0.0
cinnamon-babka	3.540947044864347	0.75
vegetarian-mushroom-lasagna	3.3744840037315305	0.0
chocolate-souffle	3.2815007957610307	1.0
berry-crumble	3.178059287858204	0.75
spinach-and-ricotta-stuffed-shells	3.0106094755793795	0.75
bacon-souffle	2.846398852354108	0.0
butter-croissants	2.738144783189716	0.5
vegetable-lasagna	2.6422182831736665	0.0
