date	AAPL	SPY	TSLA	RBLX	R	ROL
2023-09-30	169.54925537109375	417.86566162109375	250.22000122070312	28.959999084472656	102.24890899658203	36.36594009399414
2023-10-31	169.11355590820312	408.79437255859375	200.83999633789062	31.809999465942383	93.2525405883789	36.63870620727539
2023-11-30	188.35533142089844	446.13519287109375	240.0800018310547	39.310001373291016	103.12750244140625	39.844783782958984
2023-12-31	190.9136505126953	466.5036926269531	248.47999572753906	45.720001220703125	110.7508773803711	42.71039962768555
2024-01-31	182.85189819335938	473.93341064453125	187.2899932861328	38.810001373291016	109.31668853759766	42.35831069946289
2024-02-29	179.46127319335938	498.66650390625	201.8800048828125	39.900001525878906	110.54334259033203	43.259681701660156
2024-03-31	170.25735473632812	514.973876953125	175.7899932861328	38.18000030517578	116.44351196289062	45.41923141479492
2024-04-30	169.11557006835938	494.2103576660156	183.27999877929688	35.560001373291016	118.05176544189453	43.74067687988281
2024-05-31	191.13816833496094	519.207275390625	178.0800018310547	33.619998931884766	118.3559799194336	44.99460220336914
2024-06-30	209.40191650390625	537.5250244140625	197.8800048828125	37.209999084472656	120.70418548583984	48.047428131103516
2024-07-31	220.795654296875	544.033935546875	232.07000732421875	41.52000045776367	136.5668487548828	47.180824279785156
2024-08-31	227.93917846679688	556.7456665039062	214.11000061035156	43.9900016784668	142.35289001464844	49.57185745239258
2024-09-30	231.92063903808594	568.4398803710938	261.6300048828125	44.2599983215332	142.90176391601562	49.96701431274414
2024-10-31	224.8634796142578	563.3673706054688	249.85000610351562	51.720001220703125	143.37222290039062	46.568702697753906
2024-11-30	236.490478515625	596.9629516601562	345.1600036621094	50.130001068115234	166.31321716308594	49.881805419921875
2024-12-31	249.5341796875	582.5999145507812	403.8399963378906	57.86000061035156	154.51251220703125	45.93724822998047
2025-01-31	235.16519165039062	598.2464599609375	404.6000061035156	71.06999969482422	157.02435302734375	49.05919647216797
2025-02-28	241.24948120117188	590.6517944335938	292.9800109863281	63.63999938964844	162.8013916015625	52.090614318847656
2025-03-31	221.58761596679688	557.7411499023438	259.1600036621094	58.290000915527344	142.3509979248047	53.72124099731445
2025-04-30	211.9811248779297	552.9054565429688	282.1600036621094	67.05000305175781	136.27328491210938	56.80352783203125
2025-05-31	200.622314453125	587.6527709960938	346.4599914550781	86.9800033569336	146.38626098632812	57.08891296386719
2025-06-30	204.93740844726562	617.8499755859375	317.6600036621094	105.19999694824219	158.19625854492188	56.26124572753906
2025-07-31	207.33470153808594	632.0800170898438	308.2699890136719	137.7899932861328	176.81167602539062	57.108856201171875
2025-08-31	232.13999938964844	645.0499877929688	333.8699951171875	124.58999633789062	187.52000427246094	56.540000915527344
2025-09-30	239.77999877929688	649.1199951171875	338.5299987792969	129.7899932861328	188.63999938964844	56.86000061035156
